president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,11/18/2017,38.19148,42.61405,33.76891,55.45759,59.77378,51.1414,18/11/17 13:18
Donald Trump,Voters,11/17/2017,39.28837,43.77735,34.7994,55.46194,59.46125,51.46262,17/11/17 14:27
Donald Trump,Adults,11/17/2017,37.49475,41.12764,33.86187,55.80109,60.26508,51.3371,2017-11-17
Donald Trump,All polls,11/17/2017,38.07958,42.49039,33.66876,55.4835,59.79652,51.17048,17/11/17 14:27
Donald Trump,Voters,11/16/2017,39.17174,43.72211,34.62136,55.44165,59.49014,51.39315,16/11/17 22:26
Donald Trump,Adults,11/16/2017,37.56749,41.25379,33.8812,56.05001,60.54091,51.55912,2017-11-16
Donald Trump,All polls,11/16/2017,38.12582,42.58415,33.66749,55.66437,60.01311,51.31562,16/11/17 22:26
Donald Trump,Adults,11/15/2017,37.50333,41.1248,33.88186,56.09998,60.62872,51.57123,2017-11-15
Donald Trump,Voters,11/15/2017,39.02678,43.52971,34.52385,55.44995,59.54884,51.35107,15/11/17 21:47
Donald Trump,All polls,11/15/2017,38.08255,42.49938,33.66573,55.61642,60.02238,51.21045,15/11/17 21:47
Donald Trump,Adults,11/14/2017,37.54153,40.96108,34.12197,56.23203,61.02762,51.43644,2017-11-14
Donald Trump,Voters,11/14/2017,38.96594,43.43122,34.50066,55.51689,59.64754,51.38624,14/11/17 15:07
Donald Trump,All polls,11/14/2017,38.05358,42.36156,33.7456,55.78141,60.36355,51.19926,14/11/17 15:07
Donald Trump,Voters,11/13/2017,39.11507,43.75508,34.47506,55.69787,60.18501,51.21073,13/11/17 13:07
Donald Trump,Adults,11/13/2017,37.26438,40.80128,33.72747,56.38675,61.30583,51.46766,2017-11-13
Donald Trump,All polls,11/13/2017,38.07273,42.68018,33.46527,55.89657,60.70871,51.08443,13/11/17 13:07
Donald Trump,Adults,43080,37.29921,40.83548,33.76295,56.3454,61.25752,51.43328,2017-11-12
Donald Trump,Voters,11/12/17,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,12/11/17 13:07
Donald Trump,All polls,11/12/17,37.98497,42.4199,33.55003,55.9723,60.75954,51.18506,12/11/17 13:07
Donald Trump,Adults,43050,37.19261,40.67566,33.70955,56.49899,61.37941,51.61858,2017-11-11
Donald Trump,Voters,11/11/17,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,11/11/17 18:28
Donald Trump,All polls,11/11/17,37.91284,42.33805,33.48764,56.08043,60.84921,51.31165,11/11/17 18:28
Donald Trump,Voters,11/10/17,38.91225,43.31968,34.50483,55.91314,60.30188,51.52439,10/11/17 17:38
Donald Trump,Adults,43019,37.11195,40.57419,33.6497,56.54761,61.41397,51.68124,2017-11-10
Donald Trump,All polls,11/10/17,37.85893,42.279,33.43886,56.11641,60.87601,51.3568,10/11/17 17:38
Donald Trump,Voters,11/9/17,38.82508,43.16136,34.4888,56.00803,60.37885,51.63721,9/11/17 15:22
Donald Trump,Adults,42989,36.87565,40.35596,33.39534,57.20075,61.39975,53.00176,2017-11-09
Donald Trump,All polls,11/9/17,37.65916,42.07094,33.24738,56.5921,60.90161,52.28259,9/11/17 15:22
Donald Trump,Adults,42958,36.9847,40.33656,33.63285,57.10672,61.39174,52.8217,2017-11-08
Donald Trump,Voters,11/8/17,38.78871,42.96696,34.61046,56.07062,60.23169,51.90955,8/11/17 15:28
Donald Trump,All polls,11/8/17,37.58189,41.81385,33.34994,56.68189,60.93145,52.43234,8/11/17 15:28
Donald Trump,Voters,11/7/17,38.78378,43.07478,34.49278,56.08299,60.33978,51.8262,7/11/17 14:58
Donald Trump,Adults,42927,36.89015,40.30651,33.47379,57.34779,61.59307,53.1025,2017-11-07
Donald Trump,All polls,11/7/17,37.55069,41.86052,33.24086,56.80687,61.07893,52.53482,7/11/17 14:58
Donald Trump,Voters,11/6/17,38.76372,43.27574,34.25169,56.23228,60.76165,51.70292,6/11/17 17:50
Donald Trump,Adults,42897,37.05696,40.61347,33.50045,57.29476,61.77695,52.81256,2017-11-06
Donald Trump,All polls,11/6/17,37.69767,42.14056,33.25479,56.73272,61.18445,52.28099,6/11/17 17:50
Donald Trump,Voters,11/5/17,38.76653,43.22218,34.31088,56.29507,60.87656,51.71358,5/11/17 14:23
Donald Trump,Adults,42866,37.24062,40.8525,33.62873,57.23222,61.81281,52.65163,2017-11-05
Donald Trump,All polls,11/5/17,37.78851,42.21611,33.3609,56.69604,61.22639,52.16568,5/11/17 14:23
Donald Trump,Adults,42836,37.28839,41.04158,33.5352,57.03854,61.75187,52.32521,2017-11-04
Donald Trump,Voters,11/4/17,38.97559,43.54144,34.40973,55.98032,60.71075,51.24989,4/11/17 13:05
Donald Trump,All polls,11/4/17,37.88012,42.41156,33.34868,56.50428,61.09159,51.91697,4/11/17 13:05
Donald Trump,Adults,42805,37.21225,40.93717,33.48733,57.17183,61.87044,52.47322,2017-11-03
Donald Trump,Voters,11/3/17,38.97559,43.54144,34.40973,55.98032,60.71075,51.24989,3/11/17 17:25
